layer,operation,detail,payload_bytes,cost_sol,cost_usd,latency_ms,note
solana-rent,write,account_128B,128,0.00178176,0.2112632832,437,lamports_per_byte=6960
solana-rent,write,account_1KB,1024,0.00801792,0.9506847744,406,lamports_per_byte=6960
solana-rent,write,account_10KB,10240,0.07216128,8.5561629696,390,lamports_per_byte=6960
solana-rent,write,account_100KB,102400,0.71359488,84.6109449216,430,lamports_per_byte=6960
solana-rent,write,account_1MB,1048576,7.29897984,865.4400396288,390,lamports_per_byte=6960
solana-compression,write,tree_1000_leaves,32000,0.44610816,52.8950445312,2,cost_per_leaf_sol=0.00044610816
solana-compression,write,tree_10000_leaves,320000,4.45506816,528.2374317312,3,cost_per_leaf_sol=0.000445506816
solana-compression,write,tree_100000_leaves,3200000,44.54466816,5281.6613037312,1,cost_per_leaf_sol=0.000445446682
solana-program,store,store_dataset_record,353,0.00334776,0.3969439032,282,record_rent_lamports=3347760; store_fee_lamports=5000; program_id=6nevEtv1X6KV8BprxJdD5qJSAPkdi2tym2zZPrvxeqF7
solana-program,verify,verify_dataset_match,353,0.000005,0.00059285,375,fee_lamports=5000; read-only
solana-program,verify,verify_dataset_mismatch,353,0.000005,0.00059285,398,fee_lamports=5000; read-only
aws-s3,write,PUT_1MB_STANDARD,1048576,,,1361,cost_per_month_usd=0.0000224609375; cost_per_year_usd=0.00026953125
aws-s3,write,PUT_1MB_STANDARD_IA,1048576,,,229,cost_per_month_usd=0.00001220703125; cost_per_year_usd=0.000146484375
aws-s3,write,PUT_1MB_DEEP_ARCHIVE,1048576,,,290,cost_per_month_usd=0.000000966796875; cost_per_year_usd=0.0000116015625
